url,product_description,product_price,product_promotion_price
https://superveneza.instabuy.com.br/,cerveja pilsen corona lata 350ml,"R$ 5,79","R$ 5,19"
https://superveneza.instabuy.com.br/,cerveja pilsen corona garrafa 330ml,"R$ 6,79",
https://superveneza.instabuy.com.br/,cerveja lager premium puro malte stella artois garrafa 330ml,"R$ 5,79","R$ 5,89"
https://superveneza.instabuy.com.br/,cerveja lager premium stella artois lata 350ml,"R$ 4,19","R$ 4,29"
https://superveneza.instabuy.com.br/,cerveja puro malte pure gold stella artois garrafa 330ml,"R$ 7,49","R$ 7,59"
https://superveneza.instabuy.com.br/,cerveja lager premium puro malte stella artois garrafa 600ml,"R$ 9,49","R$ 9,59"
https://superveneza.instabuy.com.br/,cerveja becks imported puro malte 275ml long neck,"R$ 4,49",
